codigo_ocorrencia,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao,ocorrencia_classificacao
201208018273083,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-2.6758,-63.7469,ALTO ALEGRE,RR,BRASIL,****,2012-08-01,16:20:00,,FINALIZADA,A-130/CENIPA/2013,SIM,2014-08-15,1,1,NÃO,2018-08-28,ACIDENTE
201106206058374,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,2.9938,-61314,ALTO ALEGRE,RR,BRASIL,****,2011-06-20,14:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200811167138358,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.81,-61.3831,ALTO ALEGRE,RR,BRASIL,****,2008-11-16,12:25:00,,FINALIZADA,A-566/CENIPA/2015,SIM,2016-03-18,3,1,NÃO,2018-08-28,ACIDENTE
201111224132085,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,0.7394,-62.0214,ALTO ALEGRE,RR,BRASIL,****,2011-11-22,16:40:00,,FINALIZADA,A-038/CENIPA/2013,SIM,2013-08-22,2,1,NÃO,2018-08-28,ACIDENTE
201009213278405,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,2.8375,-63.6417,ALTO ALEGRE,RR,BRASIL,****,2010-09-21,17:10:00,,FINALIZADA,A-044/CENIPA/2012,SIM,2012-06-04,2,1,NÃO,2018-08-28,ACIDENTE
201006099196125,INDETERMINADO,INDETERMINADO,UNK,2.9938,-61314,ALTO ALEGRE,RR,BRASIL,****,2010-06-09,13:00:00,,ATIVA,A DEFINIR,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
201104061447671,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,2.8106,-62.0408,ALTO ALEGRE,RR,BRASIL,****,2011-04-06,20:25:00,,FINALIZADA,A-025/CENIPA/2013,SIM,2013-07-30,2,1,NÃO,2018-08-28,ACIDENTE
201407101908656,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.9938,-61314,ALTO ALEGRE,RR,BRASIL,SWUQ,2014-07-10,14:15:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201609191241236,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-3.5111,-61.7181,ANAMÃ,AM,BRASIL,****,2016-09-16,19:00:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
201207125348634,VOO CONTROLADO CONTRA O TERRENO,VOO CONTROLADO CONTRA O TERRENO,CFIT,-23.0222,-44.2806,ANGRA DOS REIS,RJ,BRASIL,****,2012-07-12,20:15:00,,FINALIZADA,A-521/CENIPA/2016,SIM,2017-10-27,1,1,NÃO,2018-08-28,ACIDENTE
200910129260596,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,-22.9753,-44.3072,ANGRA DOS REIS,RJ,BRASIL,SDAG,2009-10-12,16:10:00,,FINALIZADA,A-539/CENIPA/2015,SIM,2016-07-07,1,1,SIM,2018-08-28,ACIDENTE
201509183338691,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-23.0061,-44.3025,ANGRA DOS REIS,RJ,BRASIL,****,2015-09-18,13:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
201212272090341,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,SDMC,2012-12-27,16:03:00,,FINALIZADA,A-161/CENIPA/2013,SIM,2013-10-21,0,1,NÃO,2018-08-28,ACIDENTE
201208318138992,OUTROS,OUTROS,OTHR,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,****,2012-08-31,18:40:00,,ATIVA,A DEFINIR,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
201102052791822,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,****,2011-02-05,12:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201604271828141,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA,ARC,-22.9753,-44.3072,ANGRA DOS REIS,RJ,BRASIL,SDAG,2016-04-21,16:45:00,SIM,ATIVA,IG-075/CENIPA/2016,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200801159627220,OUTROS,OUTROS,OTHR,-23.0036,-44.2992,ANGRA DOS REIS,RJ,BRASIL,SJXY,2008-01-15,11:41:00,,FINALIZADA,A-025/CENIPA/2010,SIM,2010-04-28,3,1,NÃO,2018-08-28,ACIDENTE
201604281742226,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,22.9753,-44.3072,ANGRA DOS REIS,RJ,BRASIL,SDAG,2016-04-21,19:50:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201408227604299,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,SDAG,2014-08-22,14:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
200906128607729,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,-23.0486,-44.3475,ANGRA DOS REIS,RJ,BRASIL,****,2009-06-12,14:50:00,,ATIVA,A-527/CENIPA/2017,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
201609131430542,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,-22.9753,-44.3072,ANGRA DOS REIS,RJ,BRASIL,SDAG,2016-09-10,14:10:00,SIM,ATIVA,A-117/CENIPA/2016,NÃO,,0,1,SIM,2018-08-28,ACIDENTE
201806151358172,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,-23.0361,-44.3428,ANGRA DOS REIS,RJ,BRASIL,****,2018-05-21,12:00:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201407141681337,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,SDAG,2014-07-14,19:25:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201102203023021,COM ROTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-22.9978,-44.2497,ANGRA DOS REIS,RJ,BRASIL,****,2011-02-20,21:20:00,,ATIVA,A DEFINIR,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201508159929510,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,2.9081,-60.4817,BOA VISTA,RR,BRASIL,****,2015-08-15,14:00:00,,FINALIZADA,A-113/CENIPA/2015,SIM,2018-04-05,0,1,NÃO,2018-08-28,ACIDENTE
201105165154118,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2011-05-16,17:42:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201310055119546,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,****,2013-10-05,18:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201110231217982,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,****,2011-10-23,18:03:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200909251799064,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2009-09-25,19:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201304154740415,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,****,2013-04-15,17:55:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201009014590067,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.8414,-60.6922,BOA VISTA,RR,BRASIL,SBBV,2010-09-01,13:30:00,,FINALIZADA,A-134/CENIPA/2011,SIM,2011-12-21,4,1,NÃO,2018-08-28,ACIDENTE
201209141796176,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2012-09-14,15:15:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201501292823312,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-2.9378,-60.7192,BOA VISTA,RR,BRASIL,****,2015-01-29,20:30:00,,FINALIZADA,A-014/CENIPA/2015,SIM,2015-05-22,0,1,NÃO,2018-08-28,ACIDENTE
201212273864973,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2012-12-27,17:25:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200808272648966,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-2.6069,-63.8694,BOA VISTA,RR,BRASIL,SBBV,2008-08-27,22:20:00,,FINALIZADA,A-045/CENIPA/2012,SIM,2012-06-06,2,1,NÃO,2018-08-28,ACIDENTE
201209264932342,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2012-09-26,10:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201604201642115,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,2.6956,-60.8142,BOA VISTA,RR,BRASIL,****,2016-04-19,10:08:00,SIM,FINALIZADA,A-072/CENIPA/2016,SIM,2017-06-22,1,1,NÃO,2018-08-28,ACIDENTE
201207171533514,SOPRO DE REATOR,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2012-07-17,12:20:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201105236654663,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.6956,-60.8142,BOA VISTA,RR,BRASIL,****,2011-05-23,10:50:00,,FINALIZADA,A-044/CENIPA/2013,SIM,2013-08-27,3,1,NÃO,2018-08-28,ACIDENTE
201505081529330,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-19.9783,-41.08,AFONSO CLÁUDIO,ES,BRASIL,****,2015-05-08,11:27:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
201012113981199,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-9.3019,-37.8769,ÁGUA BRANCA,AL,BRASIL,****,2010-12-11,11:00:00,,ATIVA,IG-583/CENIPA/2016,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200901078078550,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-3.7454,-61659,ANORI,AM,BRASIL,****,2009-01-07,16:45:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200806139544442,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-3.7454,-61659,ANORI,AM,BRASIL,****,2008-06-13,14:09:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200905218704582,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-21.6883,-51.0734,ADAMANTINA,SP,BRASIL,****,2009-05-21,10:33:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201410043195984,COM LANÇAMENTO DE CARGA,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2014-10-04,18:10:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200901125918921,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2009-01-12,15:10:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201302225833590,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2013-02-22,19:05:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201510036622095,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2015-10-03,14:10:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200904287041195,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2009-04-28,08:15:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201105185856144,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-05-18,21:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201201191732215,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-15.8197,-47.8747,BRASÍLIA,DF,BRASIL,****,2012-01-19,21:30:00,,FINALIZADA,A-032/CENIPA/2014,SIM,2014-04-07,2,1,NÃO,2018-08-28,ACIDENTE
201206224204460,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA,USOS,-15.9417,-47.7203,BRASÍLIA,DF,BRASIL,SIQE,2012-06-22,12:30:00,,FINALIZADA,IG-123/CENIPA/2013,SIM,2015-05-15,1,1,NÃO,2018-08-28,INCIDENTE
200903057160862,F.O.D.,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2009-03-05,20:20:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201105235453158,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-05-23,23:47:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201211015848731,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2012-11-01,18:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200908303419146,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2009-08-30,16:35:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201803011722167,PROBLEMAS FISIOLÓGICOS,MÉDICO,MED,-15.8692,-47.9208,BRASÍLIA,DF,BRASIL,SBBR,2018-02-22,11:00:00,SIM,ATIVA,IG-030/CENIPA/2018,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201103274169638,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-03-27,15:01:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201007199377105,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-15.8539,-47.8064,BRASÍLIA,DF,BRASIL,****,2010-07-19,18:30:00,,FINALIZADA,A-037/CENIPA/2011,SIM,2011-07-21,1,1,NÃO,2018-08-28,ACIDENTE
200810288305979,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2008-10-28,22:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200810109319239,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8408,-47.9256,BRASÍLIA,DF,BRASIL,SBBR,2008-10-10,19:15:00,,ATIVA,IG-549/CENIPA/2018,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200908249821293,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2009-08-24,11:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201401273279512,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2014-01-27,01:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201006218726530,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-06-21,17:23:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201804101509299,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2018-04-10,00:32:00,SIM,ATIVA,IG-065/CENIPA/2018,NÃO,,0,2,NÃO,2018-08-28,INCIDENTE
200807113095482,COLISÃO DE VEÍCULO COM AERONAVE,COLISÃO NO SOLO,GCOL,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2008-07-11,09:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201602151643527,FOGO NO SOLO,FOGO/FUMAÇA (SEM IMPACTO),F-NI,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2016-02-14,17:30:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201005298364334,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-05-29,15:45:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201603081820596,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2016-03-02,14:00:00,SIM,FINALIZADA,***,NÃO,,0,2,NÃO,2018-08-28,INCIDENTE
201601271224323,OUTROS,OUTROS,OTHR,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2016-01-20,01:35:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201009169551671,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-09-16,14:50:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200908067142107,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2009-08-06,13:45:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201201213452808,FOGO EM VOO,FOGO/FUMAÇA (SEM IMPACTO),F-NI,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2012-01-21,14:50:00,,FINALIZADA,IG-544/CENIPA/2015,SIM,2017-03-31,4,1,NÃO,2018-08-28,INCIDENTE
201603081944514,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8711,47.9186,BRASÍLIA,DF,BRASIL,SBBR,2016-03-07,14:57:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201504084922109,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA,USOS,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2015-04-08,16:04:00,,ATIVA,IG-057/CENIPA/2015,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201211187960040,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2012-11-18,22:41:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201310032094858,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2013-10-03,16:22:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201006108630131,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-06-10,17:27:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
